target_gene,condition,n_sig_proteins,self_padj,self_lfc
ROMO1,IFNγ,0,,
MYC,IFNγ,0,,
TMED10,IFNγ,0,,
TPRKB,IFNγ,0,,
PSAP,IFNγ,0,,
SNRPG,IFNγ,0,,
PIK3IP1,IFNγ,0,,
FTH1,IFNγ,0,,
RAB27A,IFNγ,0,,
NDUFA13,IFNγ,0,,
SERPINE2,IFNγ,0,,
UBC,IFNγ,0,,
FBL,IFNγ,0,,
HLA-DRB5,IFNγ,0,,
GAS5,IFNγ,0,,
LGALS3,IFNγ,0,,
KCNN4,IFNγ,0,,
TIMP2,IFNγ,0,,
RPSA,IFNγ,0,,
TOP1MT,IFNγ,0,,
FOS,IFNγ,0,,
CST3,IFNγ,0,,
PRELID3B,IFNγ,0,,
DDX39A,IFNγ,0,,
MIA,IFNγ,0,,
HLA-E,IFNγ,0,0.06448736551581288,-0.5244541168212891
AGA,IFNγ,0,,
NPC2,IFNγ,0,,
CTSO,IFNγ,0,,
CCR10,Co-culture,0,,
UCN2,IFNγ,0,,
CCR10,IFNγ,0,,
CDH19,Co-culture,0,,
LRRC75A-AS1,Co-culture,0,,
DDX17,Co-culture,0,,
TFAP2A,Co-culture,0,,
STAT3,Co-culture,0,,
APOE,Co-culture,0,,
SLC22A18,Co-culture,0,,
CHCHD2,Co-culture,0,,
TP53,Co-culture,0,,
MFGE8,Co-culture,0,,
XAGE1A,Co-culture,0,,
UBC,Co-culture,0,,
MT2A,Co-culture,0,,
CSPG4,Co-culture,0,,
MC1R,Co-culture,0,,
BOLA2,Co-culture,0,,
P2RX4,Co-culture,0,,
ATP5MD,Co-culture,0,,
APOD,Co-culture,0,,
SLIRP,Co-culture,0,,
FGFR1,Co-culture,0,,
CMSS1,Co-culture,0,,
GAA,Co-culture,0,,
C6orf226,Co-culture,0,,
ACTA2,Co-culture,0,,
TRIM22,Co-culture,0,,
RRS1,Co-culture,0,,
NCL,Co-culture,0,,
WBP2,Co-culture,0,,
JPT1,Co-culture,0,,
RPSA,Co-culture,0,,
TPP1,Co-culture,0,,
SERPINE2,Co-culture,0,,
CTSO,Co-culture,0,,
CDK6,Co-culture,0,,
TAPBPL,Co-culture,0,,
VAT1,Co-culture,0,,
E2F1,Co-culture,0,,
C19orf48,Co-culture,0,,
TIMP3,Co-culture,0,,
CD63,Co-culture,0,,
HASPIN,Co-culture,0,,
HNRNPC,Co-culture,0,,
FOXM1,Co-culture,0,,
HLA-B,Control,0,,
ILF2,Co-culture,0,,
EIF4A1,Co-culture,0,,
CDC123,Co-culture,0,,
HLA-F,Co-culture,0,,
TMED10,Co-culture,0,,
FTH1,Co-culture,0,,
MYC,Co-culture,0,,
PRELID3B,Co-culture,0,,
PAICS,Co-culture,0,,
PUF60,Co-culture,0,,
RUVBL2,Co-culture,0,,
EEF1G,Co-culture,0,,
SAE1,Co-culture,0,,
CCT3,Co-culture,0,,
FKBP4,Co-culture,0,,
MIA,Co-culture,0,,
LCP1,Co-culture,0,,
S100A6,Co-culture,0,,
EEA1,Co-culture,0,,
FBL,Co-culture,0,,
SEC11C,Co-culture,0,,
UQCRH,Co-culture,0,,
LINC00518,Co-culture,0,,
NDUFA13,Co-culture,0,,
LEF1-AS1,Co-culture,0,,
PIK3IP1,Co-culture,0,,
SLC7A5P1,Co-culture,0,,
ARMC6,Co-culture,0,,
TOP1MT,Co-culture,0,,
ROMO1,Co-culture,0,,
SINHCAF,Co-culture,0,,
PSMB8-AS1,Co-culture,0,,
LRPAP1,Co-culture,0,,
UQCRFS1,Co-culture,0,,
PABPC1,Co-culture,0,,
FRZB,Co-culture,0,,
RNASEH2A,Co-culture,0,,
SGK1,Co-culture,0,,
RB1,Co-culture,0,,
SAT1,Co-culture,0,,
APOC2,Co-culture,0,,
SNRPG,Co-culture,0,,
SP100,Co-culture,0,,
CTSB,Co-culture,0,,
NME1,Co-culture,0,,
NGFR,Co-culture,0,,
SDC3,Co-culture,0,,
NONO,Co-culture,0,,
POLD2,Co-culture,0,,
WNT7A,Co-culture,0,,
AGA,Co-culture,0,,
CORO1A,Co-culture,0,,
EMP1,Co-culture,0,,
CKS1B,Co-culture,0,,
TTLL1,Co-culture,0,,
NUP50-AS1,Co-culture,0,,
AEBP1,Co-culture,0,,
SPESP1,Co-culture,0,,
CXCR4,Co-culture,0,0.8394291122513846,0.12828092277050018
SLC19A1,Co-culture,0,,
HSPA1A,Co-culture,0,,
PPA1,Co-culture,0,,
HLA-DRB5,Co-culture,0,,
PROS1,Co-culture,0,,
TIMM50,IFNγ,0,,
DDR1,Co-culture,0,,
PFDN4,Co-culture,0,,
BZW2,Co-culture,0,,
UCN2,Co-culture,0,,
ENPP1,Co-culture,0,,
DDX39A,Co-culture,0,,
STX7,Co-culture,0,,
PYGB,Co-culture,0,,
SLC25A13,Co-culture,0,,
RBP7,Co-culture,0,,
FBXO32,Co-culture,0,,
SCARB2,Co-culture,0,,
KDR,Co-culture,0,0.6053044426052507,-0.7721754312515259
CDKN1A,Co-culture,0,,
SET,Co-culture,0,,
SOX4,Co-culture,0,,
C1QBP,Co-culture,0,,
FMN1,Co-culture,0,,
ST6GALNAC2,Co-culture,0,,
GRN,Co-culture,0,,
PPIA,Co-culture,0,,
NSG1,Co-culture,0,,
CDK4,Co-culture,0,,
SMAD4,Co-culture,0,,
ISYNA1,Co-culture,0,,
GPATCH4,Co-culture,0,,
EVA1A,Co-culture,0,,
TSC22D3,Co-culture,0,,
FSTL3,Co-culture,0,,
S100B,Co-culture,0,,
GSEC,Co-culture,0,,
GPI,Co-culture,0,,
NMRK1,Co-culture,0,,
TIMM50,Co-culture,0,,
TIMP2,Co-culture,0,,
GAS5,Co-culture,0,,
STOM,Co-culture,0,,
HLA-A,Co-culture,0,0.9886449143685152,-0.059825390577316284
ATP1B1,Co-culture,0,,
SNHG6,Co-culture,0,,
CGAS,Co-culture,0,,
FOS,Co-culture,0,,
CDKN2B,Co-culture,0,,
IDI2-AS1,Co-culture,0,,
NOLC1,Co-culture,0,,
SMAD3,Co-culture,0,,
CTSA,Co-culture,0,,
SERPINF1,Co-culture,0,,
SDCBP,Co-culture,0,,
SLC5A3,Co-culture,0,,
RTP4,Co-culture,0,,
NPC1,Control,0,,
