names,scores,logfoldchanges,pvals,pvals_adj,target_gene,condition
TIMP2,-6.72676,-0.92088497,1.7348258056965324e-11,4.1136189504676177e-07,TIMP2,Control
CD63,-8.1394005,-0.6210873,3.9723926502938034e-16,9.419337452376666e-12,CD63,Control
JPT1,-7.345248,-0.82572955,2.0537782901605948e-13,4.869919081628802e-09,JPT1,Control
HLA-C,-8.660635,-1.1507685,4.691420330985318e-18,1.1124295888832387e-13,HLA-C,Control
EMC3,4.770654,0.39033365,1.8362870707572875e-06,0.021771019510898403,SSR2,Control
SSR2,-5.5154347,-0.60051715,3.479184943257509e-08,0.0008249843337452205,SSR2,Control
RANBP1,-4.5435505,-0.17487034,5.5314504801445405e-06,0.02623235075703747,CCND1,Control
UBE2T,-4.55511,-0.6626822,5.2358207029902245e-06,0.02623235075703747,CCND1,Control
DEK,-4.7683673,-0.27117842,1.8572488106057963e-06,0.014679694599028214,CCND1,Control
TYMS,-5.6716504,-0.7966197,1.4142823528517875e-08,0.00016767731575410795,CCND1,Control
CCND1,-6.2141495,-0.35754523,5.160339919189743e-10,1.2236198016382718e-05,CCND1,Control
UQCRFS1,-5.6379714,-0.7273719,1.720650271143477e-08,0.0004080005922935413,UQCRFS1,Control
MT-ND2,6.2129917,0.26704225,5.198520399097705e-10,6.163365785170239e-06,C1QBP,Control
C1QBP,-8.906451,-1.1214421,5.269229457351524e-19,1.2494396889271936e-14,C1QBP,Control
ACSL3,-6.2254157,-1.4823914,4.802807520452497e-10,1.1388417192496962e-05,ACSL3,Control
MT-ATP8,7.5169554,2.2693794,5.606659006487701e-14,1.3294509836183637e-09,MRPL47,Control
MT-ND4L,6.8647237,0.7070787,6.662001661985404e-12,7.898469170449896e-08,MRPL47,Control
MT-ND2,6.7781153,0.24971348,1.2175388280294544e-11,9.623426896744807e-08,MRPL47,Control
MT-CYB,4.718981,0.15050419,2.370291911336351e-06,0.01124087236032151,MRPL47,Control
MT-ATP6,4.6009274,0.147027,4.2061403498390005e-06,0.01662266666256373,MRPL47,Control
MT-ND1,4.556535,0.14805566,5.20043864309125e-06,0.01761611444356853,MRPL47,Control
MT-ND5,4.4228134,0.16956963,9.742377129482813e-06,0.028876405811787062,MRPL47,Control
MRPL47,-5.643932,-1.1770762,1.6620980642839996e-08,9.85291732507555e-05,MRPL47,Control
UQCRH,-6.1784067,-0.53990453,6.475168133134396e-10,1.5353918677288278e-05,UQCRH,Control
FN1,5.2574706,0.26757464,1.4605031746627893e-07,0.0034631451277604064,CTPS1,Control
IGFBP7,4.8978324,0.3247438,9.689971951177904e-07,0.007658953830211015,CTPS1,Control
CST3,4.790465,0.25166798,1.663954375326582e-06,0.008564362887279634,CTPS1,Control
POLR2L,4.774012,0.39473325,1.805913226906131e-06,0.008564362887279634,CTPS1,Control
TIMP1,4.733247,0.19927335,2.2095652859299386e-06,0.008732202009995117,CTPS1,Control
NAXE,4.570368,1.0852532,4.868694263406568e-06,0.01649235405341379,CTPS1,Control
CCDC85B,4.4411244,0.54793614,8.948999662095152e-06,0.02652483499845003,CTPS1,Control
RAB13,4.345639,0.3311794,1.3887055732173199e-05,0.03305623947204793,CTPS1,Control
SERPINE2,4.315294,0.29825738,1.5939080259872347e-05,0.03305623947204793,CTPS1,Control
JUND,4.2950635,0.7632102,1.746434638452749e-05,0.03305623947204793,CTPS1,Control
MARCKSL1,4.2732487,0.56895953,1.9264544893871652e-05,0.03305623947204793,CTPS1,Control
MALAT1,4.265449,0.1958441,1.9950063628663076e-05,0.03305623947204793,CTPS1,Control
VMP1,4.250398,0.35502762,2.133909965003434e-05,0.03305623947204793,CTPS1,Control
IL11,4.2299848,0.36791888,2.3370712368115436e-05,0.03305623947204793,CTPS1,Control
NOP10,4.2197475,0.29756287,2.4457587031502404e-05,0.03305623947204793,CTPS1,Control
SMIM26,4.2181635,0.41671202,2.463003175460713e-05,0.03305623947204793,CTPS1,Control
NDUFB4,4.2139587,0.35751182,2.509329919436837e-05,0.03305623947204793,CTPS1,Control
S100A13,4.1627736,0.2708217,3.144052165146017e-05,0.036922180970620944,CTPS1,Control
NDUFAF8,4.160275,0.35392225,3.178644089931965e-05,0.036922180970620944,CTPS1,Control
P4HB,4.1522317,0.1867258,3.292486000648864e-05,0.036922180970620944,CTPS1,Control
MT2A,4.143152,0.17604823,3.425640947004305e-05,0.036922180970620944,CTPS1,Control
COPS6,4.117133,0.44649163,3.836144027247362e-05,0.0395489770322128,CTPS1,Control
IER3,4.097756,0.23068291,4.171749309097712e-05,0.04026841853057443,CTPS1,Control
CYBA,4.087275,0.24226701,4.3646955284467593e-05,0.04026841853057443,CTPS1,Control
HLA-A,4.084594,0.17472126,4.4153967687033364e-05,0.04026841853057443,CTPS1,Control
GPC1,-5.056507,-1.6039257,4.270053951525507e-07,0.005062575964928642,CTPS1,Control
CBX3,-4.4604344,-0.3521128,8.179367613804273e-06,0.02770702355121813,CDK6,Control
HIST1H4C,-4.4850335,-0.5722125,7.290244468098643e-06,0.02770702355121813,CDK6,Control
H2AFV,-4.508738,-0.3168534,6.521430787965427e-06,0.02770702355121813,CDK6,Control
HNRNPU,-4.814279,-0.28996527,1.4773231749410367e-06,0.008757571781050466,CDK6,Control
NUCKS1,-4.8607936,-0.3620145,1.169160228995369e-06,0.008757571781050466,CDK6,Control
DEK,-5.047875,-0.50297445,4.467509724776009e-07,0.005296679529694436,CDK6,Control
TYMS,-5.7549253,-1.0885003,8.668015061184355e-09,0.0002055359731308034,CDK6,Control
ZFAS1,-4.257921,-0.44573048,2.063367989951878e-05,0.048926581777738926,PABPC1,Control
GPATCH4,-4.2863994,-0.66623914,1.8159247243083994e-05,0.047843563403111966,PABPC1,Control
NPC2,-4.2895713,-0.3511987,1.7901828117561117e-05,0.047843563403111966,PABPC1,Control
POLR2L,-4.4265347,-0.26376414,9.575892906083003e-06,0.03243765322700574,PABPC1,Control
PABPC1,-4.448528,-0.4782316,8.64608091194656e-06,0.03243765322700574,PABPC1,Control
UBL5,-4.781526,-0.42041838,1.7396944903834435e-06,0.008250327151194442,PABPC1,Control
EIF5A,-4.8473644,-0.4198433,1.2511250380113375e-06,0.007416669225331209,PABPC1,Control
OST4,-4.901783,-0.6432532,9.497060803744065e-07,0.007416669225331209,PABPC1,Control
S100A13,-5.2304816,-1.0206697,1.6906918075376568e-07,0.002004484207016646,PABPC1,Control
TMA7,-5.520269,-0.35747698,3.3848161469639014e-08,0.0008026076047680803,PABPC1,Control
CTSD,-13.270766,-2.20425,3.4206311811321176e-40,8.111000656700478e-36,CTSD,IFNγ
CD59,-5.7157435,-0.613296,1.0922528675742374e-08,0.0002589949999592032,CD59,IFNγ
B2M,-7.9845037,-0.18036526,1.4108861025630316e-15,3.345493126397461e-11,B2M,IFNγ
PMEPA1,6.890191,0.29393682,5.571748960647407e-12,2.032574020844174e-09,IFNGR2,IFNγ
ARL4C,6.4181952,0.7736106,1.378993260554217e-10,4.3598250925682125e-08,IFNGR2,IFNγ
NT5DC2,6.215579,0.89654875,5.113579107346032e-10,1.496952935720853e-07,IFNGR2,IFNγ
CDK6,5.5998964,0.6652184,2.1447971576923476e-08,5.650825578133439e-06,IFNGR2,IFNγ
FAT1,5.0943108,0.8195504,3.500121621441279e-07,7.829706027133549e-05,IFNGR2,IFNγ
PPP3CA,5.0628743,0.94023526,4.1298168764001933e-07,9.151982969458073e-05,IFNGR2,IFNγ
ID3,4.9311376,0.37749493,8.175221188433109e-07,0.0001754809415210264,IFNGR2,IFNγ
TPM1,4.9301996,0.24846715,8.214568365736306e-07,0.0001754809415210264,IFNGR2,IFNγ
ITGAE,4.795423,0.46264568,1.6233196302777343e-06,0.00033182892304435893,IFNGR2,IFNγ
IGFBP5,4.6363134,0.88007766,3.546776426399244e-06,0.000678235182441765,IFNGR2,IFNγ
COTL1,4.575317,0.26387703,4.754998069677487e-06,0.0008673116479091737,IFNGR2,IFNγ
GNG12,4.4883027,0.45854843,7.179290670411847e-06,0.001261002521309672,IFNGR2,IFNγ
ZBTB38,4.465307,0.6158756,7.995394060442516e-06,0.0013838451384030142,IFNGR2,IFNγ
MICAL2,4.450336,0.7705887,8.573608550936779e-06,0.0014625712658979345,IFNGR2,IFNγ
