Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Detection Of Molecule Of Bacterial Origin (GO:0032490),1/5,0.0027472053583369,0.0420100986028478,0,0,499.625,2946.374119506432,LY96
GO_Biological_Process_2023,Type B Pancreatic Cell Development (GO:0003323),1/6,0.0032958256764104,0.0420100986028478,0,0,399.68,2284.210591570385,CDK6
GO_Biological_Process_2023,Pyrimidine Ribonucleotide Biosynthetic Process (GO:0009220),1/6,0.0032958256764104,0.0420100986028478,0,0,399.68,2284.210591570385,CTPS1
GO_Biological_Process_2023,Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway (GO:1903376),1/6,0.0032958256764104,0.0420100986028478,0,0,399.68,2284.210591570385,NONO
GO_Biological_Process_2023,Regulation Of Macromolecule Metabolic Process (GO:0060255),2/162,0.0034182788395898,0.0420100986028478,0,0,27.540277777777774,156.39072035992172,CDK6;NPC1
GO_Biological_Process_2023,"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000623)",1/5,0.0027472053583369,0.0420100986028478,0,0,499.625,2946.374119506432,PABPC1
GO_Biological_Process_2023,Type B Pancreatic Cell Differentiation (GO:0003309),1/8,0.004392244396163,0.0420100986028478,0,0,285.45714285714286,1549.43708775113,CDK6
GO_Biological_Process_2023,Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666),1/6,0.0032958256764104,0.0420100986028478,0,0,399.68,2284.210591570385,LY96
GO_Biological_Process_2023,Glandular Epithelial Cell Development (GO:0002068),1/6,0.0032958256764104,0.0420100986028478,0,0,399.68,2284.210591570385,CDK6
GO_Biological_Process_2023,COPI Coating Of Golgi Vesicle (GO:0048205),1/5,0.0027472053583369,0.0420100986028478,0,0,499.625,2946.374119506432,TMED10
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),2/111,0.0016248992833661,0.0420100986028478,0,0,40.53007135575943,260.2966600579292,CDK6;CCND1
GO_Biological_Process_2023,Golgi Transport Vesicle Coating (GO:0048200),1/5,0.0027472053583369,0.0420100986028478,0,0,499.625,2946.374119506432,TMED10
