names,scores,logfoldchanges,pvals,pvals_adj,comparison
AC009509.2,-0.065668456,-19.919876,0.9476417883580515,1.0,Co-culture_vs_Control
CPEB2-DT,-0.065668456,-19.960258,0.9476417883580515,1.0,Co-culture_vs_Control
AC009518.1,-0.065668456,-19.815092,0.9476417883580515,1.0,Co-culture_vs_Control
AC100827.4,-0.065668456,-19.892727,0.9476417883580515,1.0,Co-culture_vs_Control
IGHV3-41,-0.065668456,-19.765234,0.9476417883580515,1.0,Co-culture_vs_Control
IGF1,-0.065668456,-19.84672,0.9476417883580515,1.0,Co-culture_vs_Control
AC103923.1,-0.065668456,-20.200912,0.9476417883580515,1.0,Co-culture_vs_Control
FP700111.1,-0.065668456,-19.914799,0.9476417883580515,1.0,Co-culture_vs_Control
XIAP-AS1,-0.065668456,-20.059221,0.9476417883580515,1.0,Co-culture_vs_Control
AC008551.1,-0.065668456,-19.838503,0.9476417883580515,1.0,Co-culture_vs_Control
AC008378.1,-0.065668456,-19.956005,0.9476417883580515,1.0,Co-culture_vs_Control
AC008429.3,-0.065668456,-19.855026,0.9476417883580515,1.0,Co-culture_vs_Control
DNMBP-AS1,-0.065668456,-19.930403,0.9476417883580515,1.0,Co-culture_vs_Control
TAF1L,-0.065668456,-19.585981,0.9476417883580515,1.0,Co-culture_vs_Control
AC007009.1,-0.065668456,-19.905699,0.9476417883580515,1.0,Co-culture_vs_Control
FAM13C,-0.065668456,-19.55287,0.9476417883580515,1.0,Co-culture_vs_Control
CYP4F3,-0.065668456,-20.186384,0.9476417883580515,1.0,Co-culture_vs_Control
AL031186.1,-0.065668456,-19.599468,0.9476417883580515,1.0,Co-culture_vs_Control
AC004158.1,-0.065668456,-20.04397,0.9476417883580515,1.0,Co-culture_vs_Control
AC104982.1,-0.065668456,-19.75073,0.9476417883580515,1.0,Co-culture_vs_Control
AC092378.1,-0.065668456,-19.903742,0.9476417883580515,1.0,Co-culture_vs_Control
FGL2,-0.065668456,-19.803432,0.9476417883580515,1.0,Co-culture_vs_Control
AC002429.2,-0.065668456,-20.001158,0.9476417883580515,1.0,Co-culture_vs_Control
AL137779.2,-0.065668456,-19.722227,0.9476417883580515,1.0,Co-culture_vs_Control
TIMP4,-0.065668456,-19.62421,0.9476417883580515,1.0,Co-culture_vs_Control
AL162511.1,-0.065668456,-19.909359,0.9476417883580515,1.0,Co-culture_vs_Control
WT1,-0.065668456,-20.018229,0.9476417883580515,1.0,Co-culture_vs_Control
THSD7A,-0.065668456,-19.931438,0.9476417883580515,1.0,Co-culture_vs_Control
OR2AT4,-0.065668456,-20.004337,0.9476417883580515,1.0,Co-culture_vs_Control
RBMS3-AS2,-0.065668456,-20.111341,0.9476417883580515,1.0,Co-culture_vs_Control
ZNF660,-0.065668456,-19.958529,0.9476417883580515,1.0,Co-culture_vs_Control
CKMT2,-0.065668456,-19.881132,0.9476417883580515,1.0,Co-culture_vs_Control
