Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211)	1/14	7.674931e-03	4.201010e-02	0	0	1.536615e+02	7.483003e+02	PABPC1
GO_Biological_Process_2023	Regulation Of Monocyte Differentiation (GO:0045655)	1/15	8.221088e-03	4.201010e-02	0	0	1.426786e+02	6.850073e+02	CDK6
GO_Biological_Process_2023	Intracellular Sterol Transport (GO:0032366)	1/15	8.221088e-03	4.201010e-02	0	0	1.426786e+02	6.850073e+02	NPC1
GO_Biological_Process_2023	Astrocyte Development (GO:0014002)	1/15	8.221088e-03	4.201010e-02	0	0	1.426786e+02	6.850073e+02	CDK6
GO_Biological_Process_2023	Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737)	1/15	8.221088e-03	4.201010e-02	0	0	1.426786e+02	6.850073e+02	CCND1
GO_Biological_Process_2023	Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895)	1/16	8.766972e-03	4.201010e-02	0	0	1.331600e+02	6.307475e+02	LY96
GO_Biological_Process_2023	Regulation Of Interleukin-1 Production (GO:0032652)	1/16	8.766972e-03	4.201010e-02	0	0	1.331600e+02	6.307475e+02	TMED10
GO_Biological_Process_2023	Intracellular Cholesterol Transport (GO:0032367)	1/16	8.766972e-03	4.201010e-02	0	0	1.331600e+02	6.307475e+02	NPC1
GO_Biological_Process_2023	Toll-Like Receptor 4 Signaling Pathway (GO:0034142)	1/17	9.312583e-03	4.201010e-02	0	0	1.248312e+02	5.837595e+02	LY96
GO_Biological_Process_2023	Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176)	1/17	9.312583e-03	4.201010e-02	0	0	1.248312e+02	5.837595e+02	NONO
GO_Biological_Process_2023	Negative Regulation Of Cellular Senescence (GO:2000773)	1/17	9.312583e-03	4.201010e-02	0	0	1.248312e+02	5.837595e+02	CDK6
GO_Biological_Process_2023	Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031)	1/18	9.857922e-03	4.223613e-02	0	0	1.174824e+02	5.427074e+02	CCND1
GO_Biological_Process_2023	Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749)	1/18	9.857922e-03	4.223613e-02	0	0	1.174824e+02	5.427074e+02	CDK6
GO_Biological_Process_2023	COPII Vesicle Coating (GO:0048208)	1/19	1.040299e-02	4.223613e-02	0	0	1.109500e+02	5.065602e+02	TMED10
GO_Biological_Process_2023	Mitotic Sister Chromatid Cohesion (GO:0007064)	1/19	1.040299e-02	4.223613e-02	0	0	1.109500e+02	5.065602e+02	NPC1
GO_Biological_Process_2023	Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)	1/19	1.040299e-02	4.223613e-02	0	0	1.109500e+02	5.065602e+02	TMED10
GO_Biological_Process_2023	Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971)	1/21	1.149230e-02	4.268514e-02	0	0	9.984500e+01	4.459156e+02	CCND1
GO_Biological_Process_2023	Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664)	1/21	1.149230e-02	4.268514e-02	0	0	9.984500e+01	4.459156e+02	LY96
GO_Biological_Process_2023	Negative Regulation Of Myeloid Cell Differentiation (GO:0045638)	1/22	1.203655e-02	4.268514e-02	0	0	9.508571e+01	4.202606e+02	CDK6
GO_Biological_Process_2023	Glial Cell Development (GO:0021782)	1/23	1.258052e-02	4.268514e-02	0	0	9.075909e+01	3.971260e+02	CDK6
GO_Biological_Process_2023	Cholesterol Efflux (GO:0033344)	1/23	1.258052e-02	4.268514e-02	0	0	9.075909e+01	3.971260e+02	NPC1
GO_Biological_Process_2023	Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)	1/23	1.258052e-02	4.268514e-02	0	0	9.075909e+01	3.971260e+02	PABPC1
GO_Biological_Process_2023	mRNA Polyadenylation (GO:0006378)	1/24	1.312423e-02	4.268514e-02	0	0	8.680870e+01	3.761677e+02	PABPC1
GO_Biological_Process_2023	Regulation Of Cytoplasmic Translation (GO:2000765)	1/24	1.312423e-02	4.268514e-02	0	0	8.680870e+01	3.761677e+02	PABPC1
GO_Biological_Process_2023	Gliogenesis (GO:0042063)	1/24	1.312423e-02	4.268514e-02	0	0	8.680870e+01	3.761677e+02	CDK6
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751)	1/24	1.312423e-02	4.268514e-02	0	0	8.680870e+01	3.761677e+02	CCND1
GO_Biological_Process_2023	Protein-Containing Complex Assembly (GO:0065003)	2/328	1.337401e-02	4.268514e-02	0	0	1.340354e+01	5.782881e+01	TMED10;NPC1
GO_Biological_Process_2023	Sterol Transport (GO:0015918)	1/25	1.366766e-02	4.268514e-02	0	0	8.318750e+01	3.571009e+02	NPC1
GO_Biological_Process_2023	RNA Polyadenylation (GO:0043631)	1/25	1.366766e-02	4.268514e-02	0	0	8.318750e+01	3.571009e+02	PABPC1
GO_Biological_Process_2023	Vesicle Cargo Loading (GO:0035459)	1/25	1.366766e-02	4.268514e-02	0	0	8.318750e+01	3.571009e+02	TMED10
